Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
36.0, 22.0, 14.0, 4.0, 10.0, 4.0, 18.0
Porcentagem, 61.1111111111, 38.8888888889, 11.1111111111, 27.7777777778, 11.1111111111, 50.0
