Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
597.0, 525.0, 72.0, 194.0, 49.0, 23.0, 331.0
Porcentagem, 87.9396984925, 12.0603015075, 32.4958123953, 8.20770519263, 3.85259631491, 55.4438860972
