Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
31.0, 31.0, 0.0, 31.0, 0.0, 0.0, 0.0
Porcentagem, 100.0, 0.0, 100.0, 0.0, 0.0, 0.0
