Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
36.0, 17.0, 19.0, 8.0, 9.0, 10.0, 9.0
Porcentagem, 47.2222222222, 52.7777777778, 22.2222222222, 25.0, 27.7777777778, 25.0
