Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
41.0, 25.0, 16.0, 1.0, 11.0, 5.0, 24.0
Porcentagem, 60.9756097561, 39.0243902439, 2.43902439024, 26.8292682927, 12.1951219512, 58.5365853659
