Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
856.0, 712.0, 144.0, 460.0, 68.0, 76.0, 252.0
Porcentagem, 83.1775700935, 16.8224299065, 53.738317757, 7.94392523364, 8.8785046729, 29.4392523364
