Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
393.0, 365.0, 28.0, 316.0, 6.0, 22.0, 49.0
Porcentagem, 92.8753180662, 7.12468193384, 80.4071246819, 1.52671755725, 5.59796437659, 12.4681933842
