Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
370.0, 317.0, 53.0, 153.0, 29.0, 24.0, 164.0
Porcentagem, 85.6756756757, 14.3243243243, 41.3513513514, 7.83783783784, 6.48648648649, 44.3243243243
