autumn,spring,winter,summer,cidade
53.6585365854,,,,
56.0975609756,,,,
51.2195121951,,,,
46.3414634146,,,,
41.4634146341,,,,
,56.0975609756,,,
,56.0975609756,,,
,60.9756097561,,,
,60.9756097561,,,
,60.9756097561,,,
,,92.6829268293,,
,,82.9268292683,,
,,82.9268292683,,
,,82.9268292683,,
,,78.0487804878,,
,,,68.2926829268,
,,,68.2926829268,
,,,78.0487804878,
,,,92.6829268293,
,,,85.3658536585,
