autumn,58.3333333333,55.5555555556,41.6666666667,41.6666666667,38.8888888889,campo_mourao
spring,47.2222222222,58.3333333333,61.1111111111,66.6666666667,63.8888888889,campo_mourao
winter,91.6666666667,72.2222222222,81.0810810811,83.3333333333,75.0,campo_mourao
summer,58.3333333333,61.1111111111,77.7777777778,90.625,90.625,campo_mourao
autumn,58.3333333333,55.5555555556,38.8888888889,44.4444444444,55.5555555556,diamantino
spring,63.8888888889,75.0,66.6666666667,66.6666666667,61.1111111111,diamantino
winter,88.8888888889,88.8888888889,83.3333333333,83.3333333333,80.5555555556,diamantino
summer,77.7777777778,88.8888888889,86.1111111111,86.1111111111,88.8888888889,diamantino
autumn,63.8888888889,52.7777777778,63.8888888889,58.3333333333,61.1111111111,ivinhema
spring,52.7777777778,52.7777777778,41.6666666667,61.1111111111,66.6666666667,ivinhema
winter,88.8888888889,58.3333333333,55.5555555556,63.8888888889,63.8888888889,ivinhema
summer,66.6666666667,61.1111111111,63.8888888889,63.8888888889,72.2222222222,ivinhema
autumn,80.487804878,48.7804878049,43.9024390244,51.2195121951,60.9756097561,jaboticabal
spring,46.3414634146,51.2195121951,60.9756097561,63.4146341463,60.9756097561,jaboticabal
winter,85.3658536585,78.0487804878,80.487804878,75.6097560976,73.1707317073,jaboticabal
summer,46.3414634146,68.2926829268,80.487804878,80.487804878,92.6829268293,jaboticabal
autumn,72.2222222222,66.6666666667,63.8888888889,63.8888888889,58.3333333333,jaguaruana
spring,97.2222222222,100.0,100.0,94.4444444444,94.4444444444,jaguaruana
winter,85.3658536585,80.487804878,70.7317073171,73.1707317073,65.8536585366,jaguaruana
summer,68.2926829268,44.4444444444,38.8888888889,52.7777777778,63.8888888889,jaguaruana
autumn,61.2903225806,51.6129032258,54.8387096774,70.9677419355,68.75,maceio
spring,46.1538461538,64.0,52.0,44.8275862069,59.2592592593,maceio
winter,93.5483870968,96.6666666667,100.0,96.7741935484,100.0,maceio
summer,68.5714285714,54.2857142857,70.0,58.3333333333,50.0,maceio
autumn,65.8536585366,56.0975609756,58.5365853659,56.0975609756,63.4146341463,piracicaba
spring,60.9756097561,60.9756097561,51.2195121951,60.9756097561,70.7317073171,piracicaba
winter,85.3658536585,70.7317073171,75.6097560976,63.4146341463,58.5365853659,piracicaba
summer,56.0975609756,60.9756097561,73.1707317073,65.8536585366,78.0487804878,piracicaba
autumn,53.6585365854,56.0975609756,51.2195121951,51.2195121951,60.9756097561,presidente_prudente
spring,60.9756097561,56.0975609756,51.2195121951,60.9756097561,63.4146341463,presidente_prudente
winter,70.7317073171,65.8536585366,63.4146341463,63.4146341463,63.4146341463,presidente_prudente
summer,63.4146341463,70.7317073171,70.7317073171,85.3658536585,87.8048780488,presidente_prudente
autumn,69.4444444444,63.8888888889,63.8888888889,47.2222222222,55.5555555556,rio_verde
spring,52.7777777778,61.1111111111,55.5555555556,69.4444444444,55.5555555556,rio_verde
winter,88.8888888889,86.1111111111,80.5555555556,80.5555555556,77.7777777778,rio_verde
summer,69.4444444444,83.3333333333,94.4444444444,77.7777777778,88.8888888889,rio_verde
autumn,53.6585365854,56.0975609756,51.2195121951,46.3414634146,41.4634146341,uberaba
spring,56.0975609756,56.0975609756,60.9756097561,60.9756097561,60.9756097561,uberaba
winter,92.6829268293,82.9268292683,82.9268292683,82.9268292683,78.0487804878,uberaba
summer,68.2926829268,68.2926829268,78.0487804878,92.6829268293,85.3658536585,uberaba
