autumn,1,1,0,1,1,campo_mourao
spring,0,1,1,1,0,campo_mourao
winter,0,1,0,1,0,campo_mourao
summer,1,1,1,0,0,campo_mourao
autumn,1,0,1,1,0,diamantino
spring,1,1,1,1,0,diamantino
winter,0,0,0,0,0,diamantino
summer,0,1,1,1,1,diamantino
autumn,0,0,1,1,1,ivinhema
spring,0,0,1,0,0,ivinhema
winter,1,1,1,0,1,ivinhema
summer,1,1,1,0,0,ivinhema
autumn,1,1,1,0,1,jaboticabal
spring,1,0,1,0,1,jaboticabal
winter,1,1,0,0,0,jaboticabal
summer,1,1,0,1,1,jaboticabal
autumn,1,1,1,1,0,jaguaruana
spring,0,0,0,0,0,jaguaruana
winter,1,1,1,1,1,jaguaruana
summer,1,1,1,0,1,jaguaruana
autumn,1,0,1,1,1,maceio
spring,0,1,1,0,1,maceio
winter,0,0,1,0,0,maceio
summer,1,0,1,0,1,maceio
autumn,1,0,1,1,0,piracicaba
spring,1,1,1,0,1,piracicaba
winter,1,1,1,0,0,piracicaba
summer,1,1,1,1,1,piracicaba
autumn,1,0,0,0,1,presidente_prudente
spring,1,0,1,0,0,presidente_prudente
winter,0,1,1,1,1,presidente_prudente
summer,1,1,1,1,1,presidente_prudente
autumn,1,1,1,1,0,rio_verde
spring,0,0,0,1,1,rio_verde
winter,0,0,0,0,1,rio_verde
summer,1,1,1,1,1,rio_verde
autumn,0,1,0,0,1,uberaba
spring,1,1,1,1,0,uberaba
winter,0,0,0,0,0,uberaba
summer,0,1,1,1,1,uberaba
