campo_mourao,autumn,3,1.0,50.0,1.0,400.0,0.9,4,1.0,50.0,1.0,500.0,0.9,5,1.0,50.0,1.0,500.0,0.9,6,1.0,50.0,1.0,500.0,0.9,7,1.0,50.0,1.0,450.0,0.9
campo_mourao,spring,3,1.0,50.0,1.0,550.0,0.9,4,1.0,50.0,1.0,550.0,0.9,5,1.0,50.0,1.0,550.0,0.9,6,1.0,50.0,1.0,500.0,0.9,7,1.0,50.0,1.0,500.0,0.9
campo_mourao,winter,3,1.0,50.0,1.0,210.0,0.9,4,1.0,50.0,1.0,210.0,0.9,5,1.0,50.0,1.0,250.0,0.9,6,1.0,50.0,1.0,300.0,0.9,7,1.0,50.0,1.0,400.0,0.9
campo_mourao,summer,3,1.0,50.0,1.0,450.0,0.9,4,1.0,50.0,1.0,450.0,0.9,5,1.0,50.0,1.0,450.0,0.9,6,1.0,50.0,1.0,350.0,0.9,7,1.0,50.0,1.0,350.0,0.9
diamantino,autumn,3,1.0,50.0,1.0,450.0,0.9,4,1.0,50.0,1.0,450.0,0.9,5,1.0,50.0,1.0,450.0,0.9,6,1.0,50.0,1.0,450.0,0.9,7,1.0,50.0,1.0,450.0,0.9
diamantino,spring,3,1.0,50.0,1.0,450.0,0.9,4,1.0,50.0,1.0,450.0,0.9,5,1.0,50.0,1.0,400.0,0.9,6,1.0,50.0,1.0,400.0,0.9,7,1.0,50.0,1.0,480.0,0.9
diamantino,winter,3,1.0,50.0,1.0,240.0,0.9,4,1.0,50.0,1.0,269.0,0.9,5,1.0,50.0,1.0,243.0,0.9,6,1.0,50.0,1.0,245.0,0.9,7,1.0,50.0,1.0,250.0,0.9
diamantino,summer,3,1.0,50.0,1.0,450.0,0.9,4,1.0,50.0,1.0,300.0,0.9,5,1.0,50.0,1.0,250.0,0.9,6,1.0,50.0,1.0,400.0,0.9,7,1.0,50.0,1.0,400.0,0.9
ivinhema,autumn,3,1.0,50.0,1.0,500.0,0.9,4,1.0,50.0,1.0,500.0,0.9,5,1.0,50.0,1.0,500.0,0.9,6,1.0,50.0,1.0,500.0,0.9,7,1.0,50.0,1.0,500.0,0.9
ivinhema,spring,3,1.0,50.0,1.0,450.0,0.9,4,1.0,50.0,1.0,450.0,0.9,5,1.0,50.0,1.0,450.0,0.9,6,1.0,50.0,1.0,500.0,0.9,7,1.0,50.0,1.0,500.0,0.9
ivinhema,winter,3,1.0,50.0,1.0,210.0,0.9,4,1.0,50.0,1.0,450.0,0.9,5,1.0,50.0,1.0,450.0,0.9,6,1.0,50.0,1.0,350.0,0.9,7,1.0,50.0,1.0,350.0,0.9
ivinhema,summer,3,1.0,50.0,1.0,350.0,0.9,4,1.0,50.0,1.0,350.0,0.9,5,1.0,50.0,1.0,350.0,0.9,6,1.0,50.0,1.0,350.0,0.9,7,1.0,50.0,1.0,376.0,0.9
jaboticabal,autumn,3,1.0,50.0,1.0,500.0,0.9,4,1.0,50.0,1.0,396.0,0.9,5,1.0,50.0,1.0,430.0,0.9,6,1.0,50.0,1.0,430.0,0.9,7,1.0,50.0,1.0,600.0,0.9
jaboticabal,spring,3,1.0,50.0,1.0,500.0,0.9,4,1.0,50.0,1.0,420.0,0.9,5,1.0,50.0,1.0,360.0,0.9,6,1.0,50.0,1.0,350.0,0.9,7,1.0,50.0,1.0,400.0,0.9
jaboticabal,winter,3,1.0,50.0,1.0,194.0,0.9,4,1.0,50.0,1.0,220.0,0.9,5,1.0,50.0,1.0,320.0,0.9,6,1.0,50.0,1.0,350.0,0.9,7,1.0,50.0,1.0,440.0,0.9
jaboticabal,summer,3,1.0,50.0,1.0,400.0,0.9,4,1.0,50.0,1.0,360.0,0.9,5,1.0,50.0,1.0,300.0,0.9,6,1.0,50.0,1.0,300.0,0.9,7,1.0,50.0,1.0,400.0,0.9
jaguaruana,autumn,3,1.0,50.0,1.0,350.0,0.9,4,1.0,50.0,1.0,330.0,0.9,5,1.0,50.0,1.0,330.0,0.9,6,1.0,50.0,1.0,330.0,0.9,7,1.0,50.0,1.0,330.0,0.9
jaguaruana,spring,3,1.0,50.0,1.0,118.0,0.9,4,1.0,50.0,1.0,269.0,0.9,5,1.0,50.0,1.0,274.0,0.9,6,1.0,50.0,1.0,350.0,0.9,7,1.0,50.0,1.0,252.0,0.9
jaguaruana,winter,3,1.0,50.0,1.0,223.0,0.9,4,1.0,50.0,1.0,326.0,0.9,5,1.0,50.0,1.0,360.0,0.9,6,1.0,50.0,1.0,343.0,0.9,7,1.0,50.0,1.0,370.0,0.9
jaguaruana,summer,3,1.0,50.0,1.0,370.0,0.9,4,1.0,50.0,1.0,370.0,0.9,5,1.0,50.0,1.0,350.0,0.9,6,1.0,50.0,1.0,350.0,0.9,7,1.0,50.0,1.0,400.0,0.9
maceio,autumn,3,1.0,50.0,1.0,200.0,0.9,4,1.0,50.0,1.0,200.0,0.9,5,1.0,50.0,1.0,300.0,0.9,6,1.0,50.0,1.0,240.0,0.9,7,1.0,50.0,1.0,255.0,0.9
maceio,spring,3,1.0,50.0,1.0,300.0,0.9,4,1.0,50.0,1.0,400.0,0.9,5,1.0,50.0,1.0,400.0,0.9,6,1.0,50.0,1.0,350.0,0.9,7,1.0,50.0,1.0,400.0,0.9
maceio,winter,3,1.0,50.0,1.0,200.0,0.9,4,1.0,50.0,1.0,200.0,0.9,5,1.0,50.0,1.0,250.0,0.9,6,1.0,50.0,1.0,200.0,0.9,7,1.0,50.0,1.0,200.0,0.9
