Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
36.0, 20.0, 16.0, 19.0, 8.0, 8.0, 1.0
Porcentagem, 55.5555555556, 44.4444444444, 52.7777777778, 22.2222222222, 22.2222222222, 2.77777777778
