Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
530.0, 475.0, 55.0, 261.0, 26.0, 29.0, 214.0
Porcentagem, 89.6226415094, 10.3773584906, 49.2452830189, 4.90566037736, 5.47169811321, 40.3773584906
