Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
36.0, 27.0, 9.0, 9.0, 7.0, 2.0, 18.0
Porcentagem, 75.0, 25.0, 25.0, 19.4444444444, 5.55555555556, 50.0
