Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
36.0, 28.0, 8.0, 1.0, 5.0, 3.0, 27.0
Porcentagem, 77.7777777778, 22.2222222222, 2.77777777778, 13.8888888889, 8.33333333333, 75.0
