Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
675.0, 602.0, 73.0, 78.0, 65.0, 8.0, 524.0
Porcentagem, 89.1851851852, 10.8148148148, 11.5555555556, 9.62962962963, 1.18518518519, 77.6296296296
