Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
36.0, 20.0, 16.0, 8.0, 7.0, 9.0, 12.0
Porcentagem, 55.5555555556, 44.4444444444, 22.2222222222, 19.4444444444, 25.0, 33.3333333333
