Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
752.0, 573.0, 179.0, 263.0, 75.0, 104.0, 310.0
Porcentagem, 76.1968085106, 23.8031914894, 34.9734042553, 9.97340425532, 13.829787234, 41.2234042553
