Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
41.0, 29.0, 12.0, 29.0, 3.0, 9.0, 0.0
Porcentagem, 70.7317073171, 29.2682926829, 70.7317073171, 7.31707317073, 21.9512195122, 0.0
