Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
36.0, 15.0, 21.0, 6.0, 7.0, 14.0, 9.0
Porcentagem, 41.6666666667, 58.3333333333, 16.6666666667, 19.4444444444, 38.8888888889, 25.0
