Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
41.0, 23.0, 18.0, 9.0, 9.0, 9.0, 14.0
Porcentagem, 56.0975609756, 43.9024390244, 21.9512195122, 21.9512195122, 21.9512195122, 34.1463414634
