Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
41.0, 32.0, 9.0, 0.0, 7.0, 2.0, 32.0
Porcentagem, 78.0487804878, 21.9512195122, 0.0, 17.0731707317, 4.87804878049, 78.0487804878
