Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
670.0, 533.0, 137.0, 491.0, 23.0, 114.0, 42.0
Porcentagem, 79.552238806, 20.447761194, 73.2835820896, 3.4328358209, 17.0149253731, 6.26865671642
