Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
26.0, 12.0, 14.0, 3.0, 10.0, 4.0, 9.0
Porcentagem, 46.1538461538, 53.8461538462, 11.5384615385, 38.4615384615, 15.3846153846, 34.6153846154
