Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
24.0, 17.0, 7.0, 17.0, 0.0, 7.0, 0.0
Porcentagem, 70.8333333333, 29.1666666667, 70.8333333333, 0.0, 29.1666666667, 0.0
