Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
36.0, 24.0, 12.0, 7.0, 8.0, 4.0, 17.0
Porcentagem, 66.6666666667, 33.3333333333, 19.4444444444, 22.2222222222, 11.1111111111, 47.2222222222
