Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
41.0, 21.0, 20.0, 1.0, 14.0, 6.0, 20.0
Porcentagem, 51.2195121951, 48.7804878049, 2.43902439024, 34.1463414634, 14.6341463415, 48.7804878049
