Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
320.0, 290.0, 30.0, 244.0, 2.0, 28.0, 46.0
Porcentagem, 90.625, 9.375, 76.25, 0.625, 8.75, 14.375
