Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
41.0, 21.0, 20.0, 9.0, 8.0, 12.0, 12.0
Porcentagem, 51.2195121951, 48.7804878049, 21.9512195122, 19.512195122, 29.2682926829, 29.2682926829
