Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
41.0, 21.0, 20.0, 10.0, 13.0, 7.0, 11.0
Porcentagem, 51.2195121951, 48.7804878049, 24.3902439024, 31.7073170732, 17.0731707317, 26.8292682927
