Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
725.0, 563.0, 162.0, 417.0, 55.0, 107.0, 146.0
Porcentagem, 77.6551724138, 22.3448275862, 57.5172413793, 7.58620689655, 14.7586206897, 20.1379310345
