Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
629.0, 513.0, 116.0, 69.0, 92.0, 24.0, 444.0
Porcentagem, 81.5580286169, 18.4419713831, 10.9697933227, 14.626391097, 3.81558028617, 70.5882352941
