Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
36.0, 21.0, 15.0, 1.0, 8.0, 7.0, 20.0
Porcentagem, 58.3333333333, 41.6666666667, 2.77777777778, 22.2222222222, 19.4444444444, 55.5555555556
