Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
41.0, 34.0, 7.0, 34.0, 0.0, 7.0, 0.0
Porcentagem, 82.9268292683, 17.0731707317, 82.9268292683, 0.0, 17.0731707317, 0.0
