Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
36.0, 23.0, 13.0, 22.0, 5.0, 8.0, 1.0
Porcentagem, 63.8888888889, 36.1111111111, 61.1111111111, 13.8888888889, 22.2222222222, 2.77777777778
