Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
621.0, 512.0, 109.0, 327.0, 29.0, 80.0, 185.0
Porcentagem, 82.4476650564, 17.5523349436, 52.6570048309, 4.66988727858, 12.8824476651, 29.7906602254
