Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
41.0, 33.0, 8.0, 33.0, 2.0, 6.0, 0.0
Porcentagem, 80.487804878, 19.512195122, 80.487804878, 4.87804878049, 14.6341463415, 0.0
