Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
258.0, 252.0, 6.0, 44.0, 4.0, 2.0, 208.0
Porcentagem, 97.6744186047, 2.32558139535, 17.0542635659, 1.5503875969, 0.77519379845, 80.6201550388
