Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
644.0, 546.0, 98.0, 238.0, 63.0, 35.0, 308.0
Porcentagem, 84.7826086957, 15.2173913043, 36.9565217391, 9.78260869565, 5.4347826087, 47.8260869565
