Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
123.0, 123.0, 0.0, 81.0, 0.0, 0.0, 42.0
Porcentagem, 100.0, 0.0, 65.8536585366, 0.0, 0.0, 34.1463414634
