Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
1233.0, 895.0, 338.0, 459.0, 123.0, 215.0, 436.0
Porcentagem, 72.5871857259, 27.4128142741, 37.2262773723, 9.97566909976, 17.4371451744, 35.3609083536
