Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
399.0, 364.0, 35.0, 98.0, 22.0, 13.0, 266.0
Porcentagem, 91.2280701754, 8.77192982456, 24.5614035088, 5.51378446115, 3.25814536341, 66.6666666667
