Total, Acertos, Erros, 1E1, 1E0, 0E1, 0E0
440.0, 397.0, 43.0, 235.0, 19.0, 24.0, 162.0
Porcentagem, 90.2272727273, 9.77272727273, 53.4090909091, 4.31818181818, 5.45454545455, 36.8181818182
